OBJECTID,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vintage,Total Population,White Alone Not Hispanic or Latino,Black or African American Alone Not Hispanic or Latino,American Indian and Alaska Native Alone Not Hispanic or Latino,Asian Alone Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino,Some Other Race Alone Not Hispanic or Latino,Two or More Races Not Hispanic or Latino,Hispanic or Latino (of any race),White Alone Hispanic or Latino,Black or African American Alone Hispanic or Latino,American Indian and Alaska Native Alone Hispanic or Latino,Asian Alone Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Hispanic or Latino,Some Other Race Alone Hispanic or Latino,Two or More Races Hispanic or Latino,Person of Color,White in combination with one or more other races,Black or African American in combination with one or more other races,American Indian and Alaska Native in combination with one or more other races,Asian in combination with one or more other races,Native Hawaiian and Other Pacific Islander in combination with one or more other races,Some Other Race in combination with one or more other races,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Percent Persons of Color,NEIGH_NO,Neighborhood Type (outside comp plan areas id)
72,Othello,UCUV,Residential Urban Village,5Y23,14362,2945,3917,60,5097,91,103,970,1179,117,103,91,0,0,733,135,11417,793,415,306,493,104,231,3062,4020,151,5097,91,836,1105,79.5,123,UCUV
73,Westwood-Highland Park,UCUV,Residential Urban Village,5Y23,6127,2932,397,0,727,20,32,461,1558,24,0,0,9,0,980,545,3195,873,327,128,150,54,511,2956,397,0,736,20,1012,1006,52.1,127,UCUV
74,South Park,UCUV,Residential Urban Village,5Y23,4060,1383,464,48,975,7,34,211,938,124,0,185,8,0,355,266,2677,420,117,104,148,0,285,1507,464,233,983,7,389,477,65.9,128,UCUV
75,Madison-Miller,UCUV,Residential Urban Village,5Y23,8536,5657,695,0,1057,0,16,350,761,284,49,39,0,0,178,211,2879,517,157,80,204,58,204,5941,744,39,1057,0,194,561,33.7,131,UCUV
76,Lake City,UCUV,Hub Urban Village,5Y23,5355,2643,518,0,892,0,63,381,858,94,0,0,0,0,430,334,2712,715,108,109,183,32,402,2737,518,0,892,0,493,715,50.6,201,UCUV
77,Roosevelt,UCUV,Residential Urban Village,5Y23,4377,2830,122,0,831,0,15,186,393,212,49,18,0,0,0,114,1547,260,40,54,153,0,93,3042,171,18,831,0,15,300,35.3,202,UCUV
78,Wallingford,UCUV,Residential Urban Village,5Y23,7424,4696,344,0,690,18,18,711,947,194,7,12,4,0,306,424,2728,1125,93,62,450,9,583,4890,351,12,694,18,324,1135,36.7,203,UCUV
79,Rainier Beach,UCUV,Residential Urban Village,5Y23,6430,1255,2109,29,1593,0,125,227,1092,0,0,14,0,0,1043,35,5175,184,199,61,53,0,51,1255,2109,43,1593,0,1168,262,80.5,204,UCUV
80,West Seattle Junction,UCUV,Hub Urban Village,5Y23,8967,6520,382,0,656,33,0,629,747,67,61,0,0,0,256,363,2447,909,201,241,351,0,366,6587,443,0,656,33,256,992,27.3,205,UCUV
81,Morgan Junction,UCUV,Residential Urban Village,5Y23,4907,3847,106,0,135,0,5,223,591,92,0,0,0,0,237,262,1060,485,50,157,114,15,197,3939,106,0,135,0,242,485,21.6,206,UCUV
